"","Latitude","Longitude","Country","Count","GS","GSper","Custper","Ratio"
"349",45.054753,5.037977,"FR",2,2250.8925,0.08,0.08,0.99
"350",45.065038,4.168749,"FR",1,1138.6693,0.04,0.04,1
"351",45.067076,3.912762,"FR",1,868.4839,0.03,0.04,0.76
"352",45.076582,-0.709627,"FR",2,672.8588,0.02,0.08,0.3
"353",45.080104,0.193152,"FR",2,372.3748,0.01,0.08,0.16
"354",45.084796,-1.049335,"FR",1,713.7719,0.02,0.04,0.63
"355",45.090099,-0.580473,"FR",1,8247.7011,0.29,0.04,7.25
"356",45.098591,1.518521,"FR",2,1427.4801,0.05,0.08,0.63
"357",45.119742,5.894382,"FR",1,279.2506,0.01,0.04,0.25
"358",45.125912,5.701935,"FR",1,310.2917,0.01,0.04,0.27
"359",45.127376,0.71274,"FR",2,465.5006,0.02,0.08,0.2
"360",45.127899,-0.669707,"FR",1,1315.2951,0.05,0.04,1.16
"361",45.173119,5.669715,"FR",1,651.6889,0.02,0.04,0.57
"362",45.176201,5.764763,"FR",1,632.5042,0.02,0.04,0.56
"363",45.182121,5.72133,"FR",9,10365.9189,0.36,0.35,1.01
"364",45.182327,5.791715,"FR",1,55.5643,0,0.04,0.05
"365",45.19187,0.711825,"FR",1,372.3129,0.01,0.04,0.33
"366",45.19305,5.67763,"FR",3,3571.6499,0.12,0.12,1.05
"367",45.199628,2.067353,"FR",1,2776.9848,0.1,0.04,2.44
"368",45.204038,5.838296,"FR",1,471.7086,0.02,0.04,0.41
"369",45.210398,1.641874,"FR",1,2246.4826,0.08,0.04,1.98
"370",45.213096,5.652421,"FR",1,558.6256,0.02,0.04,0.49
"371",45.21485,6.40795,"FR",1,595.6894,0.02,0.04,0.52
"372",45.221246,0.725037,"FR",1,1048.834,0.04,0.04,0.92
"373",45.226963,1.588859,"FR",1,12631.0321,0.44,0.04,11.11
"374",45.246424,4.812442,"FR",1,434.5213,0.02,0.04,0.38
"375",45.247887,1.70626,"FR",3,2106.9801,0.07,0.12,0.62
"376",45.254071,5.664233,"FR",3,1601.8715,0.06,0.12,0.47
"377",45.260934,0.16792,"FR",1,960.3645,0.03,0.04,0.84
"378",45.261,-1.055928,"FR",1,1216.4608,0.04,0.04,1.07
"379",45.269442,5.60195,"FR",1,465.4389,0.02,0.04,0.41
